Details of Incentives and Financial Assistance extended to MSME units in Karnataka  as per Industrial Policy 2014-19,,,,,,,
Sl.No,District,Name of the Unit & Unit Address,,Incentive,"Amount  
(In Rs.)",Year,
60,BENGALURU URBAN,M/s Sumathi Agro Industries ,"No 8A, KIADB Industrial area, Kadugodi, Bangalore - 560067,                                   ",International Organization for Standardization," 43,770 ",2016-17,
61,BENGALURU URBAN,"M/s N K  RF products & Services Pvt Ltd, ","No.2, 2nd Cross, Rustum Bagh, HAL Airport Road,       Bangalore - 560017                                     ",International Organization for Standardization," 100,000 ",2016-17,
62,BENGALURU URBAN,"M/s  Halamane Preciions,               ","No 08, 40 feet Road, Near KTG School,  Hegganahalli, Vishwaneedham Post , Bangalore - 560091                                     ",International Organization for Standardization," 43,460 ",2016-17,
63,BENGALURU URBAN,"M/s Milenium Technologies (I) Pvt Ltd,  ","No 10, 8th Main, 5th Cross, SLV Industrial Estate, Tigarapalya main road, Peenya 2nd Stage,                               Bangalore - 560058                            ",International Organization for Standardization," 43,120 ",2016-17,
64,DHARWAD,"M/s. 2L Engineer,  ","83 D, 2nd Stage, Tarihal Indl. Area, Hubballi- 26.                                                   ",International Organization for Standardization," 71,720 ",2017-18,
65,BENGALURU URBAN,"M/ s Kedage Precisions, ","Sy no 127, Site no 6, Kempaiah Garden, Nelagadaranahalli, PIA, Bangalore - 560058                                                                                  ",International Organization for Standardization," 46,340 ",2017-18,
66,SHIVAMOGGA,"M/s  SanthoshTraders, ","Veerapura , Bhadra Colony, Bhadravathi Tq, Shivamogga Dist                                                                                             ",International Organization for Standardization," 39,330 ",2017-18,
67,SHIVAMOGGA,M/s  Santhosh Rice mill Pvt Ltd. ,"Veerapura , Bhadra Colony, Bhadravathi Tq, Shivamogga Dist                                                                                                   ",International Organization for Standardization," 39,330 ",2017-18,
68,MYSURU,"M/s Joegeetha Plastic Pipes,           ","Plot No 277 - C, Hebbal Industrial Area, Mysore -  570018.                                 ",International Organization for Standardization," 25,760 ",2017-18,
69,DHARWAD,M/s. Arvhi Metal Arts. ,"SM- 241, MT Sagar Indl. Estate, Gokul Road, Hubballi-580030.                          ",International Organization for Standardization," 70,575 ",2017-18,
70,BENGALURU URBAN,"M/s Powercore Industries India Pvt Ltd,  ","No 8 C Sy No 122 & 163, KIADB Industrial Area, Jigani Anekal tq, Bangalore - 562106                                                                                      ",International Organization for Standardization," 55,570 ",2017-18,
71,BENGALURU URBAN,M/s Alfeni Metrac Pvt Ltd.        ,"No A - 363/1, 7th Cross, 1st Stage, Peenya Industrial  Area, Bengaluru - 560058                      ",International Organization for Standardization," 51,560 ",2017-18,
